Tabelle: 61411-0002
Index of import prices: Germany, months;;;;
Index of import prices;;;;;;;
Germany;;;;;;;
;;Index of import prices;Index of import prices;Change on previous month;Change on previous month;Change on previous year's month;Change on previous year's month
;;2021=100;2021=100;in (%);in (%);in (%);in (%)
2012;August;100.0;e;1.0;e;3.0;e
2012;September;99.3;e;-0.7;e;1.8;e
2012;October;98.8;e;-0.5;e;1.4;e
2012;November;98.8;e;-;;0.9;e
2012;December;98.3;e;-0.5;e;-;
2013;January;98.2;e;-0.1;e;-1.3;e
2013;February;98.5;e;0.3;e;-1.7;e
2013;March;98.5;e;-;;-2.2;e
2013;April;97.5;e;-1.0;e;-2.9;e
2013;May;97.1;e;-0.4;e;-2.9;e
2013;June;96.4;e;-0.7;e;-2.2;e
2013;July;96.5;e;0.1;e;-2.5;e
2013;August;96.6;e;0.1;e;-3.4;e
2013;September;96.6;e;-;;-2.7;e
2013;October;96.0;e;-0.6;e;-2.8;e
2013;November;96.1;e;0.1;e;-2.7;e
2013;December;96.1;e;-;;-2.2;e
2014;January;96.0;e;-0.1;e;-2.2;e
2014;February;95.9;e;-0.1;e;-2.6;e
2014;March;95.3;e;-0.6;e;-3.2;e
2014;April;95.1;e;-0.2;e;-2.5;e
2014;May;95.1;e;-;;-2.1;e
2014;June;95.3;e;0.2;e;-1.1;e
2014;July;94.9;e;-0.4;e;-1.7;e
2014;August;94.8;e;-0.1;e;-1.9;e
2014;September;95.1;e;0.3;e;-1.6;e
2014;October;94.8;e;-0.3;e;-1.3;e
2014;November;94.1;e;-0.7;e;-2.1;e
2014;December;92.5;e;-1.7;e;-3.7;e
2015;January;91.7;e;-0.9;e;-4.5;e
2015;February;92.8;e;1.2;e;-3.2;e
2015;March;93.7;e;1.0;e;-1.7;e
2015;April;94.1;e;0.4;e;-1.1;e
2015;May;94.1;e;-;;-1.1;e
2015;June;93.5;e;-0.6;e;-1.9;e
2015;July;93.0;e;-0.5;e;-2.0;e
2015;August;91.7;e;-1.4;e;-3.3;e
2015;September;91.1;e;-0.7;e;-4.2;e
2015;October;90.7;e;-0.4;e;-4.3;e
2015;November;90.5;e;-0.2;e;-3.8;e
2015;December;89.5;e;-1.1;e;-3.2;e
2016;January;88.3;e;-1.3;e;-3.7;e
2016;February;87.6;e;-0.8;e;-5.6;e
2016;March;88.2;e;0.7;e;-5.9;e
2016;April;88.1;e;-0.1;e;-6.4;e
2016;May;88.7;e;0.7;e;-5.7;e
2016;June;89.2;e;0.6;e;-4.6;e
2016;July;89.3;e;0.1;e;-4.0;e
2016;August;89.2;e;-0.1;e;-2.7;e
2016;September;89.1;e;-0.1;e;-2.2;e
2016;October;89.9;e;0.9;e;-0.9;e
2016;November;90.6;e;0.8;e;0.1;e
2016;December;92.3;e;1.9;e;3.1;e
2017;January;92.9;e;0.7;e;5.2;e
2017;February;93.5;e;0.6;e;6.7;e
2017;March;93.2;e;-0.3;e;5.7;e
2017;April;93.1;e;-0.1;e;5.7;e
2017;May;92.2;e;-1.0;e;3.9;e
2017;June;91.3;e;-1.0;e;2.4;e
2017;July;90.9;e;-0.4;e;1.8;e
2017;August;90.9;e;-;;1.9;e
2017;September;91.6;e;0.8;e;2.8;e
2017;October;92.1;e;0.5;e;2.4;e
2017;November;92.8;e;0.8;e;2.4;e
2017;December;92.9;e;0.1;e;0.7;e
2018;January;93.5;e;0.6;e;0.6;e
2018;February;93.0;e;-0.5;e;-0.5;e
2018;March;92.9;e;-0.1;e;-0.3;e
2018;April;93.5;e;0.6;e;0.4;e
2018;May;94.9;e;1.5;e;2.9;e
2018;June;95.3;e;0.4;e;4.4;e
2018;July;95.3;e;-;;4.8;e
2018;August;95.3;e;-;;4.8;e
2018;September;95.6;e;0.3;e;4.4;e
2018;October;96.5;e;0.9;e;4.8;e
2018;November;95.6;e;-0.9;e;3.0;e
2018;December;94.4;e;-1.3;e;1.6;e
2019;January;94.2;e;-0.2;e;0.7;e
2019;February;94.5;e;0.3;e;1.6;e
2019;March;94.5;e;-;;1.7;e
2019;April;94.8;e;0.3;e;1.4;e
2019;May;94.7;e;-0.1;e;-0.2;e
2019;June;93.4;e;-1.4;e;-2.0;e
2019;July;93.2;e;-0.2;e;-2.2;e
2019;August;92.7;e;-0.5;e;-2.7;e
2019;September;93.2;e;0.5;e;-2.5;e
2019;October;93.1;e;-0.1;e;-3.5;e
2019;November;93.6;e;0.5;e;-2.1;e
2019;December;93.8;e;0.2;e;-0.6;e
2020;January;93.4;e;-0.4;e;-0.8;e
2020;February;92.6;e;-0.9;e;-2.0;e
2020;March;89.3;e;-3.6;e;-5.5;e
2020;April;87.8;e;-1.7;e;-7.4;e
2020;May;88.1;e;0.3;e;-7.0;e
2020;June;88.6;e;0.6;e;-5.1;e
2020;July;88.9;e;0.3;e;-4.6;e
2020;August;89.0;e;0.1;e;-4.0;e
2020;September;89.3;e;0.3;e;-4.2;e
2020;October;89.5;e;0.2;e;-3.9;e
2020;November;90.0;e;0.6;e;-3.8;e
2020;December;90.5;e;0.6;e;-3.5;e
2021;January;92.3;e;2.0;e;-1.2;e
2021;February;93.4;e;1.2;e;0.9;e
2021;March;94.7;e;1.4;e;6.0;e
2021;April;95.8;e;1.2;e;9.1;e
2021;May;97.0;e;1.3;e;10.1;e
2021;June;98.4;e;1.4;e;11.1;e
2021;July;100.4;e;2.0;e;12.9;e
2021;August;101.5;e;1.1;e;14.0;e
2021;September;102.7;e;1.2;e;15.0;e
2021;October;106.0;e;3.2;e;18.4;e
2021;November;108.2;e;2.1;e;20.2;e
2021;December;109.6;e;1.3;e;21.1;e
2022;January;112.7;e;2.8;e;22.1;e
2022;February;113.7;e;0.9;e;21.7;e
2022;March;119.8;e;5.4;e;26.5;e
2022;April;121.4;e;1.3;e;26.7;e
2022;May;122.7;e;1.1;e;26.5;e
2022;June;122.9;e;0.2;e;24.9;e
2022;July;125.1;e;1.8;e;24.6;e
2022;August;128.6;e;2.8;e;26.7;e
2022;September;127.3;e;-1.0;e;24.0;e
2022;October;125.3;e;-1.6;e;18.2;e
2022;November;121.5;e;-3.0;e;12.3;e
2022;December;120.1;e;-1.2;e;9.6;e
2023;January;118.7;e;-1.2;e;5.3;e
2023;February;117.2;e;-1.3;e;3.1;e
2023;March;116.1;e;-0.9;e;-3.1;e
2023;April;114.6;e;-1.3;e;-5.6;e
2023;May;113.2;e;-1.2;e;-7.7;e
2023;June;112.3;e;-0.8;e;-8.6;e
2023;July;111.6;e;-0.6;e;-10.8;e
2023;August;112.0;e;0.4;e;-12.9;e
2023;September;113.3;e;1.2;e;-11.0;e
2023;October;113.4;e;0.1;e;-9.5;e
2023;November;112.8;e;-0.5;e;-7.2;e
2023;December;111.7;e;-1.0;e;-7.0;e
2024;January;111.7;e;-;;-5.9;e
2024;February;111.5;e;-0.2;e;-4.9;e
2024;March;111.9;e;0.4;e;-3.6;e
2024;April;112.7;e;0.7;e;-1.7;e
2024;May;112.7;e;-;;-0.4;e
2024;June;113.1;e;0.4;e;0.7;e
2024;July;112.6;e;-0.4;e;0.9;e
2024;August;112.2;e;-0.4;e;0.2;e
2024;September;111.8;e;-0.4;e;-1.3;e
2024;October;112.5;e;0.6;e;-0.8;e
2024;November;113.5;e;0.9;e;0.6;e
2024;December;113.9;e;0.4;e;2.0;e
2025;January;115.2;e;1.1;e;3.1;e
2025;February;115.5;e;0.3;e;3.6;e
2025;March;114.3;e;-1.0;e;2.1;e
2025;April;112.3;e;-1.7;e;-0.4;e
2025;May;111.5;e;-0.7;e;-1.1;e
2025;June;111.5;e;-;;-1.4;e
2025;July;111.0;e;-0.4;e;-1.4;e
2025;August;110.5;e;-0.5;e;-1.5;e
2025;September;110.7;e;0.2;e;-1.0;e
2025;October;110.9;e;0.2;e;-1.4;e
2025;November;111.4;e;0.5;e;-1.9;e
2025;December;111.3;e;-0.1;e;-2.3;e
2026;January;112.5;e;1.1;e;-2.3;e
2026;February;112.8;e;0.3;e;-2.3;e
2026;March;116.9;e;3.6;e;2.3;e
2026;April;118.3;e;1.2;e;5.3;e
2026;May;119.1;e;0.7;e;6.8;e
2026;June;118.3;e;-0.7;e;6.1;e
2026;July;...;;...;;...;
2026;August;...;;...;;...;
2026;September;...;;...;;...;
2026;October;...;;...;;...;
2026;November;...;;...;;...;
2026;December;...;;...;;...;
__________
© Federal Statistical Office, Wiesbaden 2026
created: 2026-08-18 / 13:42:32
